base,forms,chain,cost,role,rarity,types,traits,hp,atk,def,speed,skill,ability_damage,sprites_have,sprites_need
"abra","3","abra>kadabra>alakazam","3","artillery","rare","PSYCHIC","","90","4","4","63","TELEPORT","","3","0"
"absol","1","absol","6","tank","unique","DARK","wincon","200","19","10","49","NIGHT_SLASH","15/30/60/120 special","0","1"
"aegislashblade","1","aegislashblade","6","bruiser","rare","GHOST/STEEL","","210","34","4","44","KING_SHIELD","","0","1"
"aerodactyl","1","aerodactyl","6","runner","unique","ROCK/FLYING","wincon air","200","14","6","67","ROCK_SLIDE","30/60/120/240 special","0","1"
"aipom","2","aipom>ambipom","3","runner","uncommon","NORMAL","wincon jumps","70","6","4","62","TICKLE","","0","2"
"alcremiecaramelswirl","1","alcremiecaramelswirl","6","skirmisher","unique","FAIRY","","180","16","6","41","DECORATE","","0","1"
"alcremielemon","1","alcremielemon","6","skirmisher","unique","FAIRY","","180","16","6","41","DECORATE","","0","1"
"alcremiematcha","1","alcremiematcha","6","skirmisher","unique","FAIRY","","180","16","6","41","DECORATE","","0","1"
"alcremiemint","1","alcremiemint","6","skirmisher","unique","FAIRY","","180","16","6","41","DECORATE","","0","1"
"alcremierainbowswirl","1","alcremierainbowswirl","6","skirmisher","unique","FAIRY","","180","16","6","41","DECORATE","","0","1"
"alcremieruby","1","alcremieruby","6","skirmisher","unique","FAIRY","","180","16","6","41","DECORATE","","0","1"
"alcremierubyswirl","1","alcremierubyswirl","6","skirmisher","unique","FAIRY","","180","16","6","41","DECORATE","","0","1"
"alcremiesalted","1","alcremiesalted","6","skirmisher","unique","FAIRY","","180","16","6","41","DECORATE","","0","1"
"alcremievanilla","1","alcremievanilla","6","skirmisher","unique","FAIRY","","180","16","6","41","DECORATE","","0","1"
"alolandiglett","2","alolandiglett>alolandugtrio","3","runner","uncommon","GROUND/STEEL","wincon jumps","70","7","4","60","DIG","10/20/40/80 special","0","2"
